id_nivel,codigo_referencia
003002.000127,u45
003002.000128,u45
003002.000135,u45
003002.000136,u45
003002.000137,u45
003002.000134,u45
003002.000084,L3501c202
003002.000085,L3501c202
003002.000086,L3501c202
003002.000087,L3501c202
003002.000129,u45
003002.000182,u45
003002.000183,u45
003002.000184,u45
003002.000185,u45
003002.Lim001,L10054
003002.000089,L3160
003002.000090,L3160
003002.000091,L3160
003002.000093,L4046
003002.000094,L3160
003002.000095,L3160
003002.000096,L3160
003002.000097,L3160
003002.000098,L3160
003002.000099,L3160
003002.000100,L3160
003002.000101,L3160
003002.000102,L3160
003002.000107,L4046
003002.000109,L4046
004001.000001,L9172
004001.000002,L9172
004001.000003,L9172
004001.000004,L9172
004001.000005,L20591
004001.000006,L9172
004001.000007,L9172
004001.000008,L9172
004001.000009,L9172
004001.000010,L9172
004001.000011,L9172
004001.000012,L9172
004001.000013,L9172
004001.000014,L9172
004001.000015,L9172
004001.000016,L9172
004001.000017,L9172
004001.000018,L9172
004001.000019,L21345
004001.000020,L9172
004001.000021,L9172
004001.000022,L9172
004001.000023,L9172
004001.000024,L9172
