id_linea,id_espectro,id_nivel_inferior,id_nivel_superior,codigo_tipo_transicion,codigo_exactitud,longitud_onda_nm,longitud_onda_origen,medio,longitud_onda_obs_nm,longitud_onda_ritz_nm,ritz_es_limite,incertidumbre_obs_nm,incertidumbre_ritz_nm,aki_s1,fuerza_oscilador_fik,log_gf,intensidad_valor,intensidad_bandera,energia_inferior_cm1,energia_superior_cm1,energia_inferior_interpolada,energia_superior_interpolada,energia_inferior_origen_desconocido,energia_superior_origen_desconocido,medicion_repetida
10088,2,002001.000008,002001.000130,E1,AAA,729.803736,ritz,aire,,729.803736,False,,5e-06,129130.0,0.0017194,-2.28749,,,183236.789095,196935.32881198,True,True,False,False,False
10089,14,008002.000093,008002.000203,E1,,729.8112,observada,aire,729.8112,729.8117,False,,,,,,5.0,,253792.4,267490.79,False,False,False,False,False
10090,15,009001.000006,009001.000018,E1,C,729.898,observada,aire,729.898,729.898,True,0.003,,274000.0,0.00219,-2.06,1500.0,,104731.05,118427.82,False,False,False,False,False
10091,14,008002.000054,008002.000076,E1,,730.2947,ritz,aire,,730.2947,False,,,,,,,,232602.492,246291.822,False,False,False,False,False
10092,18,010002.000104,010002.000202,E1,,730.3216,observada,aire,730.3216,730.32078,False,0.002,0.00011,,,,80.0,,303974.263,317663.1046,False,False,False,False,False
10093,14,008002.000059,008002.000079,E1,,730.417,observada,aire,730.417,730.418,False,,,,,,7.0,,232796.298,246483.317,False,False,False,False,False
10094,17,010001.000015,010001.000045,E1,B+,730.48422,observada,aire,730.48422,730.48424,False,8e-05,8e-05,255000.0,0.00612,-2.21,89.0,,152970.7328,166656.5114,False,False,False,False,False
10095,11,007001.000035,007001.000107,E1,C,730.6559,ritz,aire,,730.6559,False,,,40300.0,0.000484,-2.713,,,96787.68,110470.244,False,False,False,False,False
10096,5,004001.000015,004001.000091,E1,B,730.817,observada,aire,730.817,730.819,False,0.005,0.004,334000.0,0.00446,-1.874,1.0,w,60187.4434,73866.95,False,False,False,False,False
10097,15,009001.000021,009001.000116,E1,C+,730.9033,observada,aire,730.9033,730.9032,True,0.0002,,52300000.0,0.559,0.53,1000.0,,123920.265,137598.198,False,False,False,False,False
10098,15,009001.000006,009001.000017,E1,C+,731.1019,observada,aire,731.1019,731.102,True,0.0002,,45000000.0,0.18,-0.14,15000.0,,104731.05,118405.27,False,False,False,False,False
