id_nivel,id_espectro,configuracion,termino,j_valor,j_texto,j_resuelto,g,energia_ev,energia_interpolada,incertidumbre_ev
002001.000104,2,1s.8d,3D,2.0,2,True,5,24.374680900214,True,8e-12
002001.000105,2,1s.8d,3D,1.0,1,True,3,24.374681185743,True,8e-12
002001.000106,2,1s.8d,1D,2.0,2,True,5,24.374719544511,True,4e-12
002001.000107,2,1s.8f,3F*,3.0,3,True,7,24.3748069170618,True,1.2e-12
002001.000108,2,1s.8f,3F*,4.0,4,True,9,24.3748069921824,True,1.2e-12
002001.000109,2,1s.8f,3F*,2.0,2,True,5,24.3748071255995,True,1.2e-12
002001.000110,2,1s.8f,1F*,3.0,3,True,7,24.3748073302369,True,1.2e-12
002001.000111,2,1s.8g,3G,4.0,4,True,9,24.3748231461435,True,5e-13
002001.000112,2,1s.8g,3G,5.0,5,True,11,24.374823229828,True,4e-13
002001.000113,2,1s.8g,3G,3.0,3,True,7,24.3748233060576,True,5e-13
002001.000114,2,1s.8g,1G,4.0,4,True,9,24.3748233575671,True,4e-13
002001.000115,2,1s.8h,3H*,5.0,5,True,11,24.37482704046834,True,2.5e-13
002001.000116,2,1s.8h,3H*,6.0,6,True,13,24.37482709508499,True,2.5e-13
002001.000117,2,1s.8h,3H*,4.0,4,True,9,24.37482714465648,True,2.5e-13
002001.000118,2,1s.8h,1H*,5.0,5,True,11,24.3748271816484,True,2.5e-13
002001.000119,2,1s.8i,3I,6.0,6,True,13,24.37482827854156,True,2.5e-13
002001.000120,2,1s.8i,3I,7.0,7,True,15,24.37482831684934,True,2.5e-13
002001.000121,2,1s.8i,3I,5.0,5,True,11,24.37482835175535,True,2.5e-13
002001.000122,2,1s.8i,1I,6.0,6,True,13,24.37482837948752,True,2.5e-13
002001.000123,2,1s.8k,3K*,7.0,7,True,15,24.37482875537896,True,2.5e-13
002001.000124,2,1s.8k,3K*,8.0,8,True,17,24.37482878370663,True,2.5e-13
002001.000125,2,1s.8k,3K*,6.0,6,True,13,24.37482880965292,True,2.5e-13
002001.000126,2,1s.8k,1K*,7.0,7,True,15,24.3748288311374,True,2.5e-13
002001.000127,2,1s.8p,1P*,1.0,1,True,3,24.37546669735,True,2.1e-11
002001.000128,2,1s.9s,3S,1.0,1,True,3,24.40777537914,True,2.1e-10
002001.000129,2,1s.9s,1S,0.0,0,True,1,24.41408807749,True,2.1e-10
002001.000130,2,1s.9p,3P*,2.0,2,True,5,24.41686888593,True,8e-11
002001.000131,2,1s.9p,3P*,1.0,1,True,3,24.41686897915,True,8e-11
002001.000132,2,1s.9p,3P*,0.0,0,True,1,24.41687012452,True,8e-11
002001.000133,2,1s.9d,3D,3.0,3,True,7,24.419335565023,True,5e-12
002001.000134,2,1s.9d,3D,2.0,2,True,5,24.419335579246,True,5e-12
002001.000135,2,1s.9d,3D,1.0,1,True,3,24.41933577972,True,5e-12
002001.000136,2,1s.9d,1D,2.0,2,True,5,24.41936311728,True,4e-12
002001.000137,2,1s.9f,3F*,3.0,3,True,7,24.4194246464065,True,9e-13
002001.000138,2,1s.9f,3F*,4.0,4,True,9,24.419424697554,True,9e-13
002001.000139,2,1s.9f,3F*,2.0,2,True,5,24.4194247912483,True,9e-13
002001.000140,2,1s.9f,1F*,3.0,3,True,7,24.4194249403235,True,9e-13
002001.000141,2,1s.9g,3G,4.0,4,True,9,24.4194361579319,True,4e-13
002001.000142,2,1s.9g,3G,5.0,5,True,11,24.41943621668346,True,2.5e-13
002001.000143,2,1s.9g,3G,3.0,3,True,7,24.4194362702203,True,4e-13
002001.000144,2,1s.9g,1G,4.0,4,True,9,24.41943630642235,True,2.5e-13
002001.000145,2,1s.9h,3H*,5.0,5,True,11,24.41943893748148,True,2.5e-13
002001.000146,2,1s.9h,3H*,6.0,6,True,13,24.41943897584046,True,2.5e-13
002001.000147,2,1s.9h,3H*,4.0,4,True,9,24.41943901065559,True,2.5e-13
002001.000148,2,1s.9h,1H*,5.0,5,True,11,24.41943903663648,True,2.5e-13
002001.000149,2,1s.9i,3I,6.0,6,True,13,24.41943982810474,True,2.5e-13
002001.000150,2,1s.9i,3I,7.0,7,True,15,24.41943985500943,True,2.5e-13
002001.000151,2,1s.9i,3I,5.0,5,True,11,24.41943987952483,True,2.5e-13
002001.000152,2,1s.9i,1I,6.0,6,True,13,24.41943989900212,True,2.5e-13
002001.000153,2,1s.9k,3K*,7.0,7,True,15,24.41944017424606,True,2.5e-13
002001.000154,2,1s.9k,3K*,8.0,8,True,17,24.41944019414143,True,2.5e-13
002001.000155,2,1s.9k,3K*,6.0,6,True,13,24.41944021236425,True,2.5e-13
002001.000156,2,1s.9k,1K*,7.0,7,True,15,24.41944022745362,True,2.5e-13
002001.000157,2,1s.9p,1P*,1.0,1,True,3,24.419889314325,True,1.2e-11
002001.000158,2,1s.10s,3S,1.0,1,True,3,24.44289339729,True,1.6e-10
002001.000159,2,1s.10s,1S,0.0,0,True,1,24.4474600191,True,1.6e-10
002001.000160,2,1s.10p,3P*,2.0,2,True,5,24.44947689179,True,5e-11
002001.000161,2,1s.10p,3P*,1.0,1,True,3,24.44947695951,True,5e-11
002001.000162,2,1s.10p,3P*,0.0,0,True,1,24.44947779185,True,6e-11
002001.000163,2,1s.10d,3D,3.0,3,True,7,24.451273812052,True,4e-12
002001.000164,2,1s.10d,3D,2.0,2,True,5,24.451273822448,True,4e-12
002001.000165,2,1s.10d,3D,1.0,1,True,3,24.451273968544,True,4e-12
002001.000166,2,1s.10d,1D,2.0,2,True,5,24.4512941044573,True,2.5e-12
002001.000167,2,1s.10f,3F*,3.0,3,True,7,24.4513390447263,True,7e-13
002001.000168,2,1s.10f,3F*,4.0,4,True,9,24.4513390811842,True,6e-13
002001.000169,2,1s.10f,3F*,2.0,2,True,5,24.451339149483,True,7e-13
002001.000170,2,1s.10f,1F*,3.0,3,True,7,24.451339261024,True,5e-13
002001.000171,2,1s.10g,3G,4.0,4,True,9,24.45134749576287,True,2.5e-13
002001.000172,2,1s.10g,3G,5.0,5,True,11,24.45134753858031,True,2.5e-13
002001.000173,2,1s.10g,3G,3.0,3,True,7,24.45134757760769,True,2.5e-13
002001.000174,2,1s.10g,1G,4.0,4,True,9,24.45134760401285,True,2.5e-13
002001.000175,2,1s.10h,3H*,5.0,5,True,11,24.45134954522564,True,2.5e-13
002001.000176,2,1s.10h,3H*,6.0,6,True,13,24.45134957318928,True,2.5e-13
002001.000177,2,1s.10h,3H*,4.0,4,True,9,24.45134959856946,True,2.5e-13
002001.000178,2,1s.10h,1H*,5.0,5,True,11,24.45134961750954,True,2.5e-13
002001.000179,2,1s.10i,3I,6.0,6,True,13,24.45135020548303,True,2.5e-13
002001.000180,2,1s.10i,3I,7.0,7,True,15,24.45135022509671,True,2.5e-13
002001.000181,2,1s.10i,3I,5.0,5,True,11,24.45135024296829,True,2.5e-13
002001.000182,2,1s.10i,1I,6.0,6,True,13,24.45135025716733,True,2.5e-13
002001.000183,2,1s.10k,3K*,7.0,7,True,15,24.45135046368223,True,2.5e-13
002001.000184,2,1s.10k,3K*,8.0,8,True,17,24.4513504781859,True,2.5e-13
002001.000185,2,1s.10k,3K*,6.0,6,True,13,24.45135049147044,True,2.5e-13
002001.000186,2,1s.10k,1K*,7.0,7,True,15,24.45135050247044,True,2.5e-13
002001.000187,2,1s.10p,1P*,1.0,1,True,3,24.451678459372,True,8e-12
002001.000224,2,1s.11s,3S,1.0,1,True,3,24.46863473284,True,1.5e-10
002001.000199,2,1s.11s,1S,0.0,0,True,1,24.47204427115,True,1.6e-10
002001.000319,2,1s.11p,3P*,2.0,2,True,5,24.4735534562,True,6e-11
002001.000294,2,1s.11p,3P*,1.0,1,True,3,24.47355350694,True,6e-11
002001.000269,2,1s.11p,3P*,0.0,0,True,1,24.4735541307,True,6e-11
002001.000419,2,1s.11d,3D,3.0,3,True,7,24.474902662536,True,5e-12
002001.000394,2,1s.11d,3D,2.0,2,True,5,24.474902670366,True,5e-12
002001.000369,2,1s.11d,3D,1.0,1,True,3,24.474902780107,True,5e-12
002001.000344,2,1s.11d,1D,2.0,2,True,5,24.474918023431,True,3e-12
002001.000494,2,1s.11f,3F*,3.0,3,True,7,24.4749518351194,True,1e-12
002001.000519,2,1s.11f,3F*,4.0,4,True,9,24.4749518620554,True,7e-13
002001.000469,2,1s.11f,3F*,2.0,2,True,5,24.4749519133665,True,7e-13
002001.000444,2,1s.11f,1F*,3.0,3,True,7,24.4749519987919,True,9e-13
002001.000594,2,1s.11g,3G,4.0,4,True,9,24.4749582173963,True,4e-13
002001.000619,2,1s.11g,3G,5.0,5,True,11,24.47495824955843,True,2.5e-13
002001.000569,2,1s.11g,3G,3.0,3,True,7,24.4749582788797,True,4e-13
002001.000544,2,1s.11g,1G,4.0,4,True,9,24.47495829872647,True,2.5e-13
002001.000694,2,1s.11h,3H*,5.0,5,True,11,24.47495977006741,True,2.5e-13
002001.000719,2,1s.11h,3H*,6.0,6,True,13,24.4749597910769,True,2.5e-13
002001.000669,2,1s.11h,3H*,4.0,4,True,9,24.47495981014518,True,2.5e-13
002001.000644,2,1s.11h,1H*,5.0,5,True,11,24.47495982437534,True,2.5e-13
002001.000794,2,1s.11i,3I,6.0,6,True,13,24.47496027223875,True,2.5e-13
002001.000819,2,1s.11i,3I,7.0,7,True,15,24.47496028697489,True,2.5e-13
002001.000769,2,1s.11i,3I,5.0,5,True,11,24.47496030040201,True,2.5e-13
002001.000744,2,1s.11i,1I,6.0,6,True,13,24.47496031106998,True,2.5e-13
002001.000190,2,1s.11p,1P*,1.0,1,True,3,24.475207217946,True,9e-12
002001.000225,2,1s.12s,3S,1.0,1,True,3,24.48806324708,True,1.2e-10
002001.000200,2,1s.12s,1S,0.0,0,True,1,24.49067585161,True,1.4e-10
002001.000320,2,1s.12p,3P*,2.0,2,True,5,24.49183450011,True,5e-11
002001.000295,2,1s.12p,3P*,1.0,1,True,3,24.49183453911,True,5e-11
002001.000270,2,1s.12p,3P*,0.0,0,True,1,24.49183501858,True,5e-11
002001.000420,2,1s.12d,3D,3.0,3,True,7,24.492873161214,True,4e-12
002001.000395,2,1s.12d,3D,2.0,2,True,5,24.492873167255,True,4e-12
002001.000370,2,1s.12d,3D,1.0,1,True,3,24.492873251769,True,4e-12
