Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Leading percentages,Level ID,Reference
"=""2s2.2p.(2P*<3/2>).13d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.187197""","=""""","=""0.000024""","=""""","=""  76         :    22  2s2.2p.(2P*<3/2>).13d 2[5/2]* ""","=""006001.000241""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).14d""","=""2[3/2]*""","=""2""",5,"=""""","=""11.19021""","=""""","=""0.00010""","=""""","=""  91         :     5  2s2.2p.(2P*<1/2>).14d 2[5/2]* ""","=""006001.000361""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.19070""","=""""","=""0.00003""","=""""","=""  98                                                ""","=""006001.000244""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).15s""","=""2[1/2]*""","=""0""",1,"=""""","=""11.19023""","=""""","=""0.00021""","=""""","=""  98                                                ""","=""006001.000362""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""",3,"=""""","=""11.19047""","=""""","=""0.00006""","=""""","=""  98                                                ""","=""006001.000363""","=""L20057"""
"=""2s2.2p.(2P*<1/2>).14d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.190390""","=""""","=""0.000024""","=""""","=""  99                                                ""","=""006001.000243""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).14d""","=""2[5/2]*""","=""3""",7,"=""""","=""11.19800""","=""""","=""0.00021""","=""""","=""  58         :    34  2s2.2p.(2P*<3/2>).14d 2[7/2]* ""","=""006001.000365""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).14d""","=""2[5/2]*""","=""2""",5,"=""""","=""11.19800""","=""""","=""0.00021""","=""""","=""  65         :    17  2s2.2p.(2P*<3/2>).14d 2[3/2]* ""","=""006001.000364""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).15s""","=""2[3/2]*""","=""1""",3,"=""""","=""11.19830""","=""""","=""0.00006""","=""""","=""  57         :    38  2s2.2p.(2P*<3/2>).14d 2[3/2]* ""","=""006001.000366""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).14d""","=""2[7/2]*""","=""3""",7,"=""""","=""11.198335""","=""""","=""0.000024""","=""""","=""  38         :    34  2s2.2p.(2P*<1/2>).15d 2[5/2]* ""","=""006001.000245""","=""L20057"""
"=""2s2.2p.(2P*<3/2>).14d""","=""2[3/2]*""","=""1""",3,"=""""","=""11.198544""","=""""","=""0.000024""","=""""","=""  38         :    37  2s2.2p.(2P*<1/2>).15d 2[3/2]* ""","=""006001.000246""","=""L20057"""
