Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""1s.2p2""","=""2D""","=""3/2""",4,"=""""","=""122.418""","=""a""","=""0.012""","=""  96         :     2  1s.2s.(3S).3d       2D   ""","=""004002.000090""","=""L12158"""
"=""1s.2p2""","=""2P""","=""3/2""",4,"=""""","=""123.130""","=""""","=""0.012""","="" 100                                           ""","=""004002.000093""","=""L12158"""
"=""1s.2p2""","=""2P""","=""1/2""",2,"=""""","=""123.130""","=""""","=""0.012""","="" 100                                           ""","=""004002.000092""","=""L12158"""
"=""1s.2p2""","=""2S""","=""1/2""",2,"=""""","=""125.81""","=""a""","=""0.05""","=""  85         :    11  1s.2s2              2S   ""","=""004002.000094""","=""L12158"""
"=""1s.2s.3s""","=""4S""","=""3/2""",4,"=""""","=""128.0327""","=""+x""","=""0.0009""","=""  92         :     7  1s.2p.3p            4S   ""","=""004002.000095""","=""L12158"""
"=""1s.2s.(3S).3s""","=""2S""","=""1/2""",2,"=""""","=""128.82""","=""a""","=""0.20""","=""  86         :    12  1s.2p.(3P*).3p      2S   ""","=""004002.000096""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""3/2""",4,"=""""","=""129.399""","=""+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""004002.000098""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""5/2""",6,"=""""","=""129.399""","=""+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""004002.000099""","=""L12158"""
"=""1s.2s.3p""","=""4P*""","=""1/2""",2,"=""""","=""129.399""","=""+x""","=""0.004""","=""  98         :     2  1s.2p.3d            4P*  ""","=""004002.000097""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",2,"=""""","=""129.514""","=""a""","=""0.025""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""004002.000100""","=""L12158"""
"=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",4,"=""""","=""129.514""","=""a""","=""0.025""","=""  86         :    10  1s.2p.(3P*).3s      2P*  ""","=""004002.000101""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""7/2""",8,"=""""","=""130.17204""","=""+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""004002.000105""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""5/2""",6,"=""""","=""130.17204""","=""+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""004002.000104""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""3/2""",4,"=""""","=""130.17204""","=""+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""004002.000103""","=""L12158"""
"=""1s.2s.3d""","=""4D""","=""1/2""",2,"=""""","=""130.17204""","=""+x""","=""0.00012""","=""  95         :     4  1s.2p.3p            4D   ""","=""004002.000102""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""5/2""",6,"=""""","=""130.63""","=""a""","=""0.06""","=""  94         :     2  1s.2p2              2D   ""","=""004002.000107""","=""L12158"""
"=""1s.2s.(3S).3d""","=""2D""","=""3/2""",4,"=""""","=""130.63""","=""a""","=""0.06""","=""  94         :     2  1s.2p2              2D   ""","=""004002.000106""","=""L12158"""
"=""1s.2s.(1S).3s""","=""2S""","=""1/2""",2,"=""""","=""131.22""","=""a""","=""0.20""","=""  86         :    13  1s.2p.(1P*).3p      2S   ""","=""004002.000108""","=""L12158"""
"=""1s.2p.3s""","=""4P*""","=""1/2""",2,"=""""","=""131.9306""","=""+x""","=""0.0009""","=""  96         :     2  1s.2p.3d            4P*  ""","=""004002.000109""","=""L12158"""
