Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Level ID,Reference
"=""2s2.2p4.(3P).6d""","=""4D""","=""3/2""",4,"=""""","=""39.4154511""","=""""","=""0.0000006""","=""  55                            :    35  2s2.2p4.(3P).6d    4P    ""","=""010002.000208""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""4D""","=""1/2""",2,"=""""","=""39.4932""","=""""","=""0.0004""","=""  52                            :    36                     2P    ""","=""010002.000353""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""4F""","=""9/2""",10,"=""""","=""39.4196548""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000209""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""4F""","=""7/2""",8,"=""""","=""39.494793""","=""""","=""0.000025""","=""  55                            :    25  2s2.2p4.(3P).6d    4D    ""","=""010002.000238""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""4F""","=""5/2""",6,"=""""","=""39.50119""","=""""","=""0.00004""","=""  40                            :    24                     2D    ""","=""010002.000355""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""4F""","=""3/2""",4,"=""""","=""39.5078""","=""""","=""0.0004""","=""  64                            :    30                     2P    ""","=""010002.000356""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""2F""","=""7/2""",8,"=""""","=""39.4221780""","=""""","=""0.0000005""","=""  76                            :    24  2s2.2p4.(3P).6d    4F    ""","=""010002.000210""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""2F""","=""5/2""",6,"=""""","=""39.533962""","=""""","=""0.000017""","=""  31                            :    24                     4P    ""","=""010002.000357""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""4P""","=""1/2""",2,"=""""","=""39.4224""","=""""","=""0.0012""","=""  57                            :    34                     4D    ""","=""010002.000351""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""4P""","=""3/2""",4,"=""""","=""39.49788""","=""""","=""0.00005""","=""  36                            :    33                     4D    ""","=""010002.000354""","=""L12157"""
"=""2s2.2p4.(3P).6d""","=""2D""","=""5/2""",6,"=""""","=""39.4270009""","=""""","=""0.0000009""","=""  59                            :    21  2s2.2p4.(3P).6d    2F    ""","=""010002.000211""","=""L9088"""
"=""2s2.2p4.(3P).6d""","=""2D""","=""3/2""",4,"=""""","=""39.43190""","=""""","=""0.00004""","=""  40                            :    30                     2P    ""","=""010002.000352""","=""L12157"""
"=""2s2.2p4.(3P<2>).6f""","=""2[4]*""","=""9/2""",10,"=""""","=""39.4463231""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000212""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[4]*""","=""7/2""",8,"=""""","=""39.4464583""","=""""","=""0.0000004""","=""  92                            :     8  2s2.2p4.(3P<2>).6f 2[3]* ""","=""010002.000213""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[3]*""","=""7/2""",8,"=""""","=""39.4469331""","=""""","=""0.0000004""","=""  92                            :     8  2s2.2p4.(3P<2>).6f 2[4]* ""","=""010002.000214""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[3]*""","=""5/2""",6,"=""""","=""39.4469722""","=""""","=""0.0000005""","=""  99                                                              ""","=""010002.000215""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[2]*""","=""3/2""",4,"=""""","=""39.4492755""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000216""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[2]*""","=""5/2""",6,"=""""","=""39.4493295""","=""""","=""0.0000005""","=""  99                                                              ""","=""010002.000217""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[5]""","=""9/2""",10,"=""""","=""39.4497485""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000218""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[5]""","=""11/2""",12,"=""""","=""39.4497500""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000219""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[4]""","=""7/2""",8,"=""""","=""39.4498152""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000220""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[4]""","=""9/2""",10,"=""""","=""39.4498165""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000221""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[5]*""","=""11/2""",12,"=""""","=""39.4500510""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000222""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[5]*""","=""9/2""",10,"=""""","=""39.4500561""","=""""","=""0.0000004""","="" 100                                                              ""","=""010002.000223""","=""L9088"""
"=""2s2.2p4.(3P<2>).6h""","=""2[5]*""","=""""",22,"=""""","=""39.4505950""","=""""","=""0.0000015""","="" 100                                                              ""","=""010002.000224""","=""L9088"""
"=""2s2.2p4.(3P<2>).6h""","=""2[6]*""","=""""",26,"=""""","=""39.4506178""","=""""","=""0.0000017""","="" 100                                                              ""","=""010002.000225""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[3]""","=""5/2""",6,"=""""","=""39.4507713""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000226""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[3]""","=""7/2""",8,"=""""","=""39.4507730""","=""""","=""0.0000006""","="" 100                                                              ""","=""010002.000227""","=""L9088"""
"=""2s2.2p4.(3P<2>).6h""","=""2[4]*""","=""""",18,"=""""","=""39.4510660""","=""""","=""0.0000014""","="" 100                                                              ""","=""010002.000228""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[6]""","=""11/2""",12,"=""""","=""39.451365""","=""""","=""0.000005""","="" 100                                                              ""","=""010002.000229""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[6]""","=""13/2""",14,"=""""","=""39.4513718""","=""""","=""0.0000005""","="" 100                                                              ""","=""010002.000230""","=""L9088"""
"=""2s2.2p4.(3P<2>).6h""","=""2[7]*""","=""""",30,"=""""","=""39.4514744""","=""""","=""0.0000025""","="" 100                                                              ""","=""010002.000231""","=""L9088"""
"=""2s2.2p4.(3P<2>).6h""","=""2[3]*""","=""""",14,"=""""","=""39.4517801""","=""""","=""0.0000019""","="" 100                                                              ""","=""010002.000232""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[1]*""","=""1/2""",2,"=""""","=""39.451983""","=""""","=""0.000025""","="" 100                                                              ""","=""010002.000233""","=""L9088"""
"=""2s2.2p4.(3P<2>).6f""","=""2[1]*""","=""3/2""",4,"=""""","=""39.4520468""","=""""","=""0.0000007""","="" 100                                                              ""","=""010002.000234""","=""L9088"""
"=""2s2.2p4.(3P<2>).6g""","=""2[2]""","=""3/2""",4,"=""""","=""39.4520653""","=""""","=""0.0000010""","="" 100                                                              ""","=""010002.000235""","=""L9088"""
