Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Level ID,Reference
"=""1s.4s""","=""1S""","=""0""",1,"=""[""","=""23.673570590""","=""]""","=""0.000000003""","=""002001.000019""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""2""",5,"=""[""","=""23.7078912279""","=""]""","=""0.0000000008""","=""002001.000020""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""1""",3,"=""[""","=""23.7078923433""","=""]""","=""0.0000000008""","=""002001.000021""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""0""",1,"=""[""","=""23.7079060221""","=""]""","=""0.0000000008""","=""002001.000022""","=""L22715c200"""
"=""1s.4d""","=""3D""","=""3""",7,"=""[""","=""23.73609019010""","=""]""","=""0.00000000005""","=""002001.000023""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""2""",5,"=""[""","=""23.73609033897""","=""]""","=""0.00000000005""","=""002001.000024""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""1""",3,"=""[""","=""23.73609263507""","=""]""","=""0.00000000005""","=""002001.000025""","=""L22715c200,L21466"""
"=""1s.4d""","=""1D""","=""2""",5,"=""[""","=""23.73633503536""","=""]""","=""0.00000000004""","=""002001.000026""","=""L22715c200,L21466"""
"=""1s.4f""","=""3F*""","=""3""",7,"=""[""","=""23.737006806968""","=""]""","=""0.000000000008""","=""002001.000027""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""4""",9,"=""[""","=""23.737007692183""","=""]""","=""0.000000000006""","=""002001.000028""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""2""",5,"=""[""","=""23.737008760725""","=""]""","=""0.000000000008""","=""002001.000029""","=""L22715c200"""
"=""1s.4f""","=""1F*""","=""3""",7,"=""[""","=""23.737009722091""","=""]""","=""0.000000000006""","=""002001.000030""","=""L22715c200"""
"=""1s.4p""","=""1P*""","=""1""",3,"=""[""","=""23.74207006880""","=""]""","=""0.00000000016""","=""002001.000031""","=""L22715c200"""
"=""1s.5s""","=""3S""","=""1""",3,"=""[""","=""23.9719714182""","=""]""","=""0.0000000016""","=""002001.000032""","=""L22715c200"""
"=""1s.5s""","=""1S""","=""0""",1,"=""[""","=""24.0112149898""","=""]""","=""0.0000000012""","=""002001.000033""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""2""",5,"=""[""","=""24.0282250640""","=""]""","=""0.0000000005""","=""002001.000034""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""1""",3,"=""[""","=""24.0282256244""","=""]""","=""0.0000000005""","=""002001.000035""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""0""",1,"=""[""","=""24.0282324989""","=""]""","=""0.0000000005""","=""002001.000036""","=""L22715c200"""
"=""1s.5d""","=""3D""","=""3""",7,"=""[""","=""24.042662242088""","=""]""","=""0.000000000025""","=""002001.000037""","=""L22715c200,L21466"""
