element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,ID_i,ID_k,
Li,2,"=""""","=""""","=""656.290""","=""0.006""","=""""","=""3.9275e+04""","=""2.5375e-04""","=""-2.89662""",AAA,"=""[582642.10]""","=""[597875.07]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""","=""003002.000027""","=""003002.000053""",
Li,2,"=""""","=""""","=""656.290""","=""0.006""","=""""","=""2.2504e+05""","=""1.0385e-03""","=""-2.13849""",AAA,"=""[582642.10]""","=""[597875.07]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""","=""003002.000028""","=""003002.000053""",
H,1,"=""""","=""""","=""656.290944""","=""0.000003""","=""""","=""4.2097e+06""","=""1.3599e-02""","=""-1.26443""",AAA,"=""82259.2850014""","=""97492.221701""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""","=""001001.001.000004""","=""001001.001.000006""",
Li,2,"=""""","=""""","=""656.306""","=""0.010""","=""""","=""3.5353e+05""","=""1.3705e-03""","=""-2.16415""",AAA,"=""[582642.10]""","=""[597874.68]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""","=""003002.000027""","=""003002.000052""",
Li,2,"=""""","=""""","=""656.307""","=""0.006""","=""""","=""8.289e+03""","=""5.355e-05""","=""-3.4261""",AA,"=""[582643.17]""","=""[597875.73]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""","=""003002.000030""","=""003002.000054""",
Li,2,"=""""","=""""","=""656.336""","=""0.006""","=""""","=""8.922e+04""","=""4.118e-04""","=""-2.5402""",AA,"=""[582643.17]""","=""[597875.07]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""","=""003002.000030""","=""003002.000053""",
B,1,"=""""","=""""","=""656.345""","=""0.007""","=""""","=""2.41e+05""","=""2.34e-03""","=""-2.029""",C,"=""48613.6486""","=""63845.323""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""u27""","=""""","=""005001.000010""","=""005001.000119""",
B,1,"=""""","=""""","=""656.345""","=""0.007""","=""""","=""4.03e+04""","=""2.60e-04""","=""-2.982""",C,"=""48613.6486""","=""63845.323""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""u27""","=""""","=""005001.000010""","=""005001.000026""",
N,2,"=""""","=""""","=""656.420""","=""""","=""""","=""4.77e+06""","=""5.14e-02""","=""-0.812""",D,"=""190120.24""","=""205350.18""","=""2s2.2p.3d""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1D""","=""2""",3,5,,"=""T5520,T6385""","=""""","=""007002.000055""","=""007002.000068""",
Be,1,"=""656.4521""","=""0.002""","=""656.4519""","=""0.0022""","=""9""","=""3.49e+06""","=""3.15e-02""","=""-0.802""",B,"=""56882.5474""","=""72111.75""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.6f""","=""1F*""","=""3""",5,7,,"=""u28""","=""L4743""","=""004001.000008""","=""004001.000060""",
O,2,"=""656.5283""","=""""","=""656.5283""","=""""","=""20""","=""2.86e+07""","=""1.39e-01""","=""0.045""",D,"=""232959.210""","=""248186.64""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""",8,6,,"=""T5723LS""","=""L10621""","=""008002.000060""","=""008002.000081""",
